File,Vessel,ProfileRate_Hz,InitialCPTWL,RefinedCPTWL,CPI_seconds,MiddleProfile,IC
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,64,44,0.5881128,129,26.73752225
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,32,72,0.9623664,337,20.70485423
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,128,126,1.6841412,385,22.39639287
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,32,32,0.4277184,593,21.7003528
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,32,46,0.6148452,657,22.56835826
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,64,54,0.7217748,1025,25.6735569
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,32,40,0.534648,1121,27.05532909
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,32,56,0.7485072,1185,23.54561067
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,64,94,1.2564228,1249,22.51656446
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,64,34,0.4544508,1313,22.50041655
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,32,46,0.6148452,1377,23.65588507
DAP_2010-10-06_18-00-05_002_Umoya_P872_55212_outbound.mat,Yacht,74.8155796,32,80,1.069296,1409,20.87347602
DAP_2010-10-06_18-01-54_002_Umoya_P873_50446_outbound.mat,Yacht,101.6632101,64,94,0.9246216,321,25.7694349
DAP_2010-10-06_18-01-54_002_Umoya_P873_50446_outbound.mat,Yacht,101.6632101,64,84,0.8262576,1089,31.31573086
DAP_2010-10-06_18-01-54_002_Umoya_P873_50446_outbound.mat,Yacht,101.6632101,64,92,0.9049488,1153,23.87604238
DAP_2010-10-06_18-01-54_002_Umoya_P873_50446_outbound.mat,Yacht,101.6632101,64,68,0.6688752,1313,27.57236756
DAP_2010-10-06_18-01-54_002_Umoya_P873_50446_outbound.mat,Yacht,101.6632101,64,76,0.7475664,1537,26.60492715
DAP_2010-10-06_18-14-21_002_Umoya_P872_55336_inbound.mat,Yacht,74.8155796,64,66,0.8821692,97,19.75948395
DAP_2010-10-06_18-14-21_002_Umoya_P872_55336_inbound.mat,Yacht,74.8155796,128,128,1.7108736,705,20.43549487
DAP_2010-10-06_18-14-21_002_Umoya_P872_55336_inbound.mat,Yacht,74.8155796,32,52,0.6950424,1153,26.19629607
DAP_2010-10-09_06-50-40_008_Umoya_P873_02570_outbound.mat,Yacht,101.6632101,32,22,0.2164008,1297,18.60809827
DAP_2010-10-09_06-50-40_008_Umoya_P873_02570_outbound.mat,Yacht,101.6632101,64,40,0.393456,1505,24.17941737
DAP_2010-10-09_06-50-40_008_Umoya_P873_02570_outbound.mat,Yacht,101.6632101,32,30,0.295092,1889,18.43514255
DAP_2010-10-09_06-50-40_008_Umoya_P873_02570_outbound.mat,Yacht,101.6632101,64,26,0.2557464,5025,20.94815071
DAP_2010-10-09_06-50-40_008_Umoya_P873_02570_outbound.mat,Yacht,101.6632101,32,36,0.3541104,6305,18.64838356
DAP_2010-10-09_06-55-26_010_Umoya_P874_03468_outbound.mat,Yacht,123.9741142,64,54,0.4355748,481,21.45874674
DAP_2010-10-09_06-55-26_010_Umoya_P874_03468_outbound.mat,Yacht,123.9741142,32,50,0.40331,5953,28.03026655
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,32,80,0.645296,353,19.89878132
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,32,66,0.5323692,385,22.51614343
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,32,34,0.2742508,449,22.7255991
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,64,102,0.8227524,769,24.75584919
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,64,84,0.6775608,2689,19.56465561
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,32,34,0.2742508,2753,20.65518638
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,32,42,0.3387804,2961,19.19407284
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,32,30,0.241986,3009,23.30432811
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,128,144,1.1615328,3457,22.1555193
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,32,28,0.2258536,3601,20.96577559
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,32,36,0.2903832,4273,23.24523632
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,32,22,0.1774564,5057,20.79921951
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,64,82,0.6614284,5377,20.96939529
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,64,82,0.6614284,5889,25.50449273
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,64,56,0.4517072,6401,19.67715248
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,32,40,0.322648,6609,20.13017959
DAP_2010-10-09_06-58-05_012_Umoya_P874_03085_inbound.mat,Yacht,123.9741142,32,58,0.4678396,7889,21.57560866
DAP_2010-10-15_07-01-33_000_NAMACURA_OUT_12KNOTS_870__P870_T001_G1_sb_HRR_G1_02743.mat,Patrol Boat,117.6138502,64,64,0.5441536,257,34.50442189
DAP_2010-10-15_07-01-33_000_NAMACURA_OUT_12KNOTS_870__P870_T001_G1_sb_HRR_G1_02743.mat,Patrol Boat,117.6138502,64,84,0.7142016,865,38.5610065
DAP_2010-10-15_07-01-33_000_NAMACURA_OUT_12KNOTS_870__P870_T001_G1_sb_HRR_G1_02743.mat,Patrol Boat,117.6138502,32,76,0.6461824,1425,40.58539818
DAP_2010-10-15_07-01-33_000_NAMACURA_OUT_12KNOTS_870__P870_T001_G1_sb_HRR_G1_02743.mat,Patrol Boat,117.6138502,64,70,0.595168,1697,38.43531478
DAP_2010-10-15_07-03-22_000_NAMACURA_OUT_6KNOTS_870__P870_T001_G1_sb_HRR_G1_01956.mat,Patrol Boat,117.6138502,64,70,0.595168,2177,34.47067383
DAP_2010-10-15_07-03-22_000_NAMACURA_OUT_6KNOTS_870__P870_T001_G1_sb_HRR_G1_01956.mat,Patrol Boat,117.6138502,128,138,1.1733312,2817,42.57127393
DAP_2010-10-15_07-03-22_000_NAMACURA_OUT_6KNOTS_870__P870_T001_G1_sb_HRR_G1_01956.mat,Patrol Boat,117.6138502,64,90,0.765216,2945,32.74264209
DAP_2010-10-15_07-03-22_000_NAMACURA_OUT_6KNOTS_870__P870_T001_G1_sb_HRR_G1_01956.mat,Patrol Boat,117.6138502,64,62,0.5271488,3137,35.5005214
DAP_2010-10-15_07-03-22_000_NAMACURA_OUT_6KNOTS_870__P870_T001_G1_sb_HRR_G1_01956.mat,Patrol Boat,117.6138502,32,68,0.5781632,3153,34.48851258
DAP_2010-10-15_07-06-04_000_NAMACURA_INB_MAXKNOTS_870__P870_T001_G1_sb_HRR_G1_02804.mat,Patrol Boat,117.6138502,32,44,0.3741056,129,20.33328941
DAP_2010-10-15_07-06-04_000_NAMACURA_INB_MAXKNOTS_870__P870_T001_G1_sb_HRR_G1_02804.mat,Patrol Boat,117.6138502,32,40,0.340096,433,23.66919677
DAP_2010-10-14_14-31-33_014_RIB_OUT_SPEEDMEDIUM_18KNOTS_462__P462_T001_G1_sb_HRR_G1_01502.mat,RIB1,400,64,134,0.335,609,24.44660633
DAP_2010-10-14_14-31-33_014_RIB_OUT_SPEEDMEDIUM_18KNOTS_462__P462_T001_G1_sb_HRR_G1_01502.mat,RIB1,400,128,124,0.31,1153,30.52622647
DAP_2010-10-14_14-31-33_014_RIB_OUT_SPEEDMEDIUM_18KNOTS_462__P462_T001_G1_sb_HRR_G1_01502.mat,RIB1,400,32,170,0.425,1281,23.02028904
DAP_2010-10-14_14-31-33_014_RIB_OUT_SPEEDMEDIUM_18KNOTS_462__P462_T001_G1_sb_HRR_G1_01502.mat,RIB1,400,64,134,0.335,1441,23.2907001
DAP_2010-10-14_14-31-33_014_RIB_OUT_SPEEDMEDIUM_18KNOTS_462__P462_T001_G1_sb_HRR_G1_01502.mat,RIB1,400,128,142,0.355,1793,28.71242709
DAP_2010-10-14_14-31-33_014_RIB_OUT_SPEEDMEDIUM_18KNOTS_462__P462_T001_G1_sb_HRR_G1_01502.mat,RIB1,400,64,104,0.26,1921,26.7034463
DAP_2010-10-14_14-52-31_024_RIB_OUT_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_28154.mat,RIB1,400,128,144,0.36,449,41.58613993
DAP_2010-10-14_14-52-31_024_RIB_OUT_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_28154.mat,RIB1,400,128,130,0.325,2625,35.88818331
DAP_2010-10-14_14-52-31_024_RIB_OUT_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_28154.mat,RIB1,400,64,88,0.22,3073,34.27220333
DAP_2010-10-14_14-52-31_024_RIB_OUT_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_28154.mat,RIB1,400,128,122,0.305,3137,37.16226584
DAP_2010-10-14_14-52-31_024_RIB_OUT_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_28154.mat,RIB1,400,32,92,0.23,3217,34.30990153
DAP_2010-10-14_14-52-31_024_RIB_OUT_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_28154.mat,RIB1,400,32,118,0.295,5761,40.71851434
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,64,174,0.435,289,38.08233416
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,32,172,0.43,353,43.53670172
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,128,458,1.145,1089,40.06002308
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,128,226,0.565,1281,49.22881287
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,64,236,0.59,1537,42.9469765
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,64,164,0.41,1697,40.47091597
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,128,246,0.615,3521,38.61123603
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,128,354,0.885,3841,38.79665143
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,128,180,0.45,4097,49.32199148
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,128,122,0.305,5633,37.78624131
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,32,194,0.485,5713,41.37383823
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,128,158,0.395,6337,40.481401
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,128,136,0.34,6465,39.17376213
